,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
1875,Olamide,Infinity (feat. Omah Lay),5DS9LiyEdw2zY8bM6kjjgM,72,Dancehall,2020,0.93,0.535,7,-8.755,0,0.111,0.303,0.0201,0.146,0.518,102.017,171765,4,2.317314931506849,0.29363375862068963
1876,Gyptian,Hold You - Hold Yuh,0j55p8YRAPG8yajtNyjt6A,67,Dancehall,2010,0.69,0.621,8,-3.583,1,0.06,0.321,2.81e-05,0.0884,0.497,66.858,233253,3,2.6879624705882352,0.44396974903474906
1877,Sean Paul,No Fear (feat. Damian Marley & Nicky Jam),5B1QxXc3XWgJ3dg2ULj7Aa,53,Dancehall,2022,0.722,0.748,10,-7.307,0,0.113,0.0355,0.0,0.101,0.487,92.005,210923,4,2.602530886075949,0.32634912225705326
1878,Sean Paul,Dynamite (feat. Sia),4L3XaCtU2zf49PztjCrlF5,26,Dancehall,2022,0.624,0.86,8,-3.012,1,0.124,0.0704,0.0,0.0819,0.816,100.897,212668,4,2.3553987499999995,0.2977834188034188
1879,Sean Paul,How We Do It (feat. Pia Mia),3L5alxs9YwJS1UP2v4T727,28,Dancehall,2022,0.623,0.818,0,-3.623,1,0.529,0.143,0.0,0.232,0.729,130.655,182673,5,1.9822362222222223,0.25046472067039105
1880,Sean Paul,Only Fanz (feat. Ty Dolla $ign),3hLp0enaI5Y05fidGIlzdv,25,Dancehall,2022,0.633,0.807,1,-4.848,1,0.172,0.0228,0.0,0.324,0.511,96.024,173159,4,2.462309852941177,0.3129130330882353
1881,Stefflon Don,16 Shots,2169IKAivSUUFGcedGASXc,68,Dancehall,2017,0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.549,95.083,224728,4,2.529431839080459,0.31624265714285715
1882,Shenseea,Can't Anymore,6zrZ7mVcznNd2Q6qB0iBrq,63,Dancehall,2022,0.771,0.724,9,-5.372,0,0.0422,0.209,3.51e-06,0.281,0.77,102.991,155308,4,2.2914893846153848,0.29084249999999995
1883,Sean Paul,Contra La Pared,37eGbhE1xVFSvcKkqGb6i1,67,Dancehall,2019,0.828,0.588,2,-7.14,1,0.118,0.0156,0.0,0.124,0.598,94.052,224681,4,2.5375708139534887,0.31894263768115944
1884,WizKid,Ginger (feat. Burna Boy),51mLQ3w7yR7vjdSTFLWaY5,66,Dancehall,2020,0.545,0.749,4,-6.621,0,0.153,0.103,0.0,0.232,0.681,100.503,196147,4,2.211906206896552,0.27993239942528736
1885,Afro B,Drogba (Joanna),4E0teOQQQwagLVvQ7VfYm1,63,Dancehall,2018,0.966,0.633,2,-6.392,1,0.101,0.0206,4.06e-06,0.0715,0.767,108.011,199000,4,2.1794083333333334,0.2778505633802817
1886,Burna Boy,Want It All (feat. Polo G),45s98gUcOcj5nJeFDNLH2g,63,Dancehall,2021,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,232500,4,1.707112074074074,0.21329378228782286
1887,Maleek Berry,Kontrol,1090OWoP6JTpYAaSSEBvGy,63,Dancehall,2016,0.868,0.521,1,-6.902,0,0.0512,0.281,6.36e-05,0.0992,0.886,113.993,206316,4,2.116623402061856,0.2628145918367347
1888,Sean Paul,Baby Boy (feat. Beyoncé ),29LHe8kG3PraghUZOZYsw4,59,Dancehall,2002,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,246707,4,2.6359019565217388,0.3289096630727763
1889,Beenie Man,Girls Dem Sugar,3j8EEMm9kbPLqByuaHmUmQ,57,Dancehall,2000,0.603,0.782,2,-4.832,1,0.162,0.118,0.0,0.363,0.731,124.303,257893,5,1.9529945801526718,0.24494243809523814
